Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,30p,C1570
"C10, C16, C3, C5",0402,4,1u,C52923
"C11, C12, C13, C14, C15, C17, C18, C19, C7, C9",0402,10,100n,C1525
C4,0402,1,4.7u,C23733
C6,0603,1,0.1u,C14663
C8,0603,1,1u,C15849
"H1, H10, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_3.2mm_M3,10,MountingHole,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"J3, J4",CONN6x1_FH34SRJ-6S-0.5SH50_HIR,2,FH34SRJ-6S-0.5SH50,
"R1, R2",0402,2,1k,C11702
"R10, R9",1210,2,5.1k,
"R3, R5",0402,2,10k,C25744
R4,0402,1,39,C25110
"R6, R7",0402,2,27,C138021
"S1, S2",SW_PG151101S11,2,PG151101S11,
"SW1, SW2",SW_SPST_Omron_B3FS-100xP,2,SW_Push,C271750
U1,SOT-23-5,1,TLV73333PDBV,C134139
U2,PMW3360,1,PMW3360,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOT-23-5,1,TCR2EF19,C146366
U5,RP2040-QFN-56,1,RP2040,C2040
U6,AMPHENOL_GSB3CA11310DSHR,1,TYPE-C-31-M-14,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
