Designator,Mid X,Mid Y,Rotation,Layer
C1,148.85,-113.85,0.0,top
C10,153.8,-99.95,90.0,top
C11,152.4,-112.55,270.0,top
C12,150.6,-99.95,90.0,top
C13,145.45,-103.2,180.0,top
C14,156.45,-107.5,0.0,top
C15,145.45,-107.8,180.0,top
C16,154.85,-100.45,90.0,top
C17,151.37,-112.55,270.0,top
C18,156.05,-103.1,0.0,top
C19,156.05,-102.05,0.0,top
C2,152.05,-116.5,270.0,top
C3,155.2,-93.05,180.0,top
C4,129.4,-96.8,180.0,top
C5,155.2,-97.85,180.0,top
C6,137.3,-94.7,90.0,top
C7,141.45,-92.9,90.0,top
C8,131.6,-94.95,90.0,top
C9,149.55,-99.35,90.0,top
J1,159.6,-95.82,0.0,top
J2,152.95,-88.25,270.0,top
J3,133.388346,-80.152019,180.0,top
J4,134.925007,-89.67,90.0,top
J5,105.946,-104.558,90.0,top
J6,105.692,-91.096,90.0,top
J7,105.895,-124.637,90.0,top
J8,105.895,-111.429,90.0,top
R1,150.35,-113.4,90.0,top
R10,131.15,-71.2,270.0,top
R2,144.1,-117.35,270.0,top
R3,141.4,-98.75,270.0,top
R4,129.4,-95.7,180.0,top
R5,145.45,-106.75,180.0,top
R6,151.65,-99.95,270.0,top
R7,152.73,-99.95,270.0,top
R9,135.638346,-71.197026,270.0,top
S1,93.981,-97.913,90.0,top
S2,93.93,-117.488,90.0,top
SW1,135.95,-124.25,0.0,top
SW2,147.95,-124.25,0.0,top
U1,154.7,-95.45,270.0,top
U2,126.29,-101.9,270.0,bottom
U3,144.95,-97.0,90.0,top
U4,134.45,-94.8,180.0,top
U5,150.8,-106.65,0.0,top
U6,133.8,-63.2,180.0,top
Y1,149.7,-116.5,270.0,top
